local_15min,HVAC unit,Electric vehicle charger,Washing machine,Dishwasher,Clothes dryer,Microwave,Oven,Cooktop,Pool pump,Refrigerator,Electric water heater,Kitchen sink garbage disposal,Solar power generation
2024-01-15 06:15:00+00:00,1.25,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.28
2024-01-15 06:30:00+00:00,1.32,1.50,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.35
2024-01-15 06:45:00+00:00,1.28,1.52,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.41
2024-01-15 07:00:00+00:00,1.35,0.0,0.16,0.0,0.0,1.10,0.0,0.0,0.0,0.18,0.0,0.0,0.48
2024-01-15 07:15:00+00:00,1.38,0.0,0.15,0.0,0.0,0.0,2.20,0.15,0.0,0.19,0.12,0.0,0.52
2024-01-15 07:30:00+00:00,1.40,0.0,0.16,0.0,0.0,0.0,2.18,0.14,0.0,0.18,0.0,0.0,0.58
2024-01-15 07:45:00+00:00,1.42,0.0,0.14,0.0,0.0,0.0,2.22,0.16,0.0,0.19,0.12,0.0,0.62
2024-01-15 08:00:00+00:00,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.65
2024-01-15 08:15:00+00:00,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.68
2024-01-15 08:30:00+00:00,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.70
2024-01-15 08:45:00+00:00,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.72
2024-01-15 09:00:00+00:00,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.75
2024-01-15 09:15:00+00:00,0.88,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.76
2024-01-15 09:30:00+00:00,0.85,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.78
2024-01-15 09:45:00+00:00,0.82,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.80
2024-01-15 10:00:00+00:00,0.80,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.82
2024-01-15 10:15:00+00:00,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.83
2024-01-15 10:30:00+00:00,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.85
2024-01-15 10:45:00+00:00,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.86
2024-01-15 11:00:00+00:00,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.87
2024-01-15 11:15:00+00:00,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.88
2024-01-15 11:30:00+00:00,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.88
2024-01-15 11:45:00+00:00,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.89
2024-01-15 12:00:00+00:00,0.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.89
2024-01-15 12:15:00+00:00,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.90
2024-01-15 12:30:00+00:00,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.90
2024-01-15 12:45:00+00:00,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.90
2024-01-15 13:00:00+00:00,0.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.89
2024-01-15 13:15:00+00:00,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.88
2024-01-15 13:30:00+00:00,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.87
2024-01-15 13:45:00+00:00,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.85
2024-01-15 14:00:00+00:00,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.82
2024-01-15 14:15:00+00:00,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.78
2024-01-15 14:30:00+00:00,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.72
2024-01-15 14:45:00+00:00,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.65
2024-01-15 15:00:00+00:00,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,00.35,0.0,0.52
2024-01-15 15:15:00+00:00,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.42
2024-01-15 15:30:00+00:00,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.28
2024-01-15 15:45:00+00:00,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.15
2024-01-15 16:00:00+00:00,1.45,0.0,0.0,0.0,3.50,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.08
2024-01-15 16:15:00+00:00,1.55,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.05
2024-01-15 16:30:00+00:00,1.62,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.02
2024-01-15 16:45:00+00:00,1.68,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 17:00:00+00:00,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 17:15:00+00:00,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 17:30:00+00:00,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 17:45:00+00:00,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 18:00:00+00:00,2.15,0.0,0.0,0.0,0.0,0.0,2.30,0.18,0.0,0.18,0.0,0.0,0.0
2024-01-15 18:15:00+00:00,2.22,0.0,0.0,0.0,0.0,0.0,2.28,0.17,0.0,0.19,0.12,0.0,0.0
2024-01-15 18:30:00+00:00,2.28,0.0,0.0,0.0,0.0,0.0,2.32,0.19,0.0,0.18,0.0,0.0,0.0
2024-01-15 18:45:00+00:00,2.32,0.0,0.0,0.0,0.0,0.0,2.25,0.16,0.0,0.19,0.12,0.0,0.0
2024-01-15 19:00:00+00:00,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 19:15:00+00:00,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 19:30:00+00:00,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 19:45:00+00:00,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 20:00:00+00:00,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 20:15:00+00:00,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 20:30:00+00:00,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 20:45:00+00:00,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 21:00:00+00:00,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 21:15:00+00:00,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 21:30:00+00:00,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 21:45:00+00:00,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 22:00:00+00:00,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 22:15:00+00:00,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 22:30:00+00:00,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 22:45:00+00:00,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 23:00:00+00:00,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 23:15:00+00:00,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 23:30:00+00:00,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 23:45:00+00:00,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
